player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Bruce Carter,6192,LB,ATL,7,3,0,83.3,0,0,2,61.2,55.5,76.9,53.6,51.6,68.7,0,0,0,33,11.8,2,0,0,113.2,5,0,64,0,43,78,7,0,0,7,0,0,71,3,32,7,5,12,6,0,0,67,11,13.4
Jarvis Jenkins,6193,DI,KC,12,0,0,,0,0,16,59.5,50.4,83.3,48.2,56.2,26.9,1,3,0,,33.3,3,0,0,0,0,0,0,0,1,206,206,5,137,13,51,0,0,132,73,0,4,6,0,4,0,0,0,
Brooks Reed,6194,ED,ATL,16,6,0,100,0,1,2,41.7,65.8,76.9,61.2,71,29.5,3,13,0,28,17.2,5,0,1,158.3,4,1,2,0,13,458,456,0,5,438,13,0,2,255,190,0,12,18,4,17,1,58,41,14.5
Marcus Gilchrist,6202,S,OAK,16,9,0,58,0,0,23,53.5,54.4,86.3,49.8,56.3,69.6,0,0,3,34,12.3,7,2,0,88.3,29,0,222,11,482,871,5,0,0,5,0,387,866,8,381,246,7,41,50,0,6,280,85,9.7
Randall Cobb,6216,WR,GB,1,0,0,,1,0,12,,60,60,,60,,0,0,0,,,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
Terrell McClain,6217,DI,ATL,13,6,0,,0,0,2,52.6,51.1,85.9,51.3,54.6,53.4,0,5,0,,9.5,2,0,0,0,0,1,0,0,6,374,374,59,282,4,29,0,0,207,161,0,12,13,0,6,0,0,0,
Kelvin Sheppard,6220,LB,DET,1,0,0,,0,0,11,61.9,55.8,71.5,,54.7,69.9,0,0,0,,0,0,0,0,0,0,0,7,0,3,11,4,0,0,4,0,0,7,0,8,0,0,1,0,0,0,0,0,
Justin Houston,6222,ED,KC,14,5,2,87.5,0,5,16,64.1,85.8,89.7,89.1,65.2,59.3,6,35,1,20,18.4,7,0,0,102.1,7,12,10,1,101,848,830,2,0,825,3,0,18,437,310,7,30,26,8,53,1,68,49,9.7
Jurrell Casey,6229,DI,TEN,15,15,0,,1,2,31,71.5,85.4,31.4,67,90.6,48.3,6,30,0,,11.7,7,0,5,0,0,8,97,0,5,745,648,66,434,74,74,0,97,462,278,0,35,38,0,44,0,0,0,
Mason Foster,6236,LB,WAS,16,35,1,84.4,0,0,32,56.8,57.3,84.1,55,58.3,82.6,0,7,2,28,6.6,9,1,0,98.5,65,1,907,4,538,1014,16,0,0,16,0,16,998,88,388,71,45,92,77,8,3,549,426,8.4
Allen Bailey,6238,DI,KC,18,15,0,,0,3,16,62.9,62.7,89.6,58.5,60.8,39.8,4,26,0,,18.5,10,0,0,0,0,6,0,0,1,958,958,34,600,112,212,0,0,644,313,0,30,29,0,36,0,0,0,
